"date","lon","lat","p","ydist","xdist","ptt"
2011-01-20,-68.6250000000003,24.6249999999998,1,0.225000000000001,0.224999999999994,95975
2011-01-21,-68.8631663560659,24.4132757844206,0.870473709143925,0.313659325,0.306031945000001,95975
2011-01-22,-69.0323064985882,24.3504685035229,0.852679394373294,0.284830234999999,0.35376042,95975
2011-01-23,-69.0825141832696,24.3131327770028,0.74407800865418,0.33500892,0.495925805000006,95975
2011-01-24,-69.1351796701878,24.1578485943551,0.708900625274367,0.465055054999999,0.591464100000003,95975
2011-01-25,-69.1244173151414,24.1633511837891,0.580749462595788,0.43247118,0.706397185,95975
2011-01-26,-69.0943359219001,23.9289691002153,0.540439993507368,0.621106254999999,0.724023774999999,95975
2011-01-27,-69.0889118030756,23.8866536297494,0.496718936223582,0.34816245,0.323789229999996,95975
2011-01-28,-69.243414390539,23.9147543109292,0.495717026025708,0.403371671107383,0.447574407684564,95975
2011-01-29,-69.6325362783704,23.9807367383114,0.513516668425144,0.403371671107383,0.447574407684564,95975
2011-01-30,-69.9374875129493,23.9438865634772,0.433594358478816,0.403371671107383,0.447574407684564,95975
2011-01-31,-69.856479523748,23.6164738811682,0.254344866128845,0.403371671107383,0.447574407684564,95975
2011-02-01,-69.8185125339427,23.1237160931842,0.108355236881776,0.20806574,0.347408620000003,95975
2011-02-02,-69.8355949082955,22.6475114205402,0.208192359049182,0.48224899,0.584150350000002,95975
2011-02-03,-69.9026795934498,22.4157303371211,0.290243365467942,0.898941300000001,1.375078115,95975
2011-02-04,-69.9597191105519,22.2574422287773,0.367130454519236,0.97429019,1.40425817000001,95975
2011-02-05,-69.977595802146,22.1843594880091,0.411607499010449,0.918027015,1.34981103,95975
2011-02-06,-69.9645979250419,22.1715889021577,0.391679070380131,0.48006722,0.659020915000006,95975
2011-02-07,-70.0131393269223,21.8272760868315,0.426678352351423,0.477852810000002,0.0971193100000036,95975
2011-02-08,-69.7694739013592,21.8034878856324,0.419359058054733,0.52462025,0.913502825000002,95975
2011-02-09,-69.6242456519136,21.7273402430014,0.452051216990506,0.45751544,0.778880449999996,95975
2011-02-10,-69.6459131901991,21.6518041021451,0.517060938826715,0.42365805,0.753948739999998,95975
2011-02-11,-69.7013918410984,21.7711612342183,0.498266094666378,0.403371671107383,0.447574407684564,95975
2011-02-12,-70.0140071659089,21.8473605058443,0.325869610489822,0.322592315,0.290953915000003,95975
2011-02-13,-70.5271995087349,22.0959170860746,0.343227284165636,0.39307011,0.345539299999999,95975
2011-02-14,-70.6907912052117,22.0743077653216,0.537664820540977,0.424516414999999,0.413242449999998,95975
2011-02-15,-70.8116324126315,22.028143729417,0.645492650407861,0.597791855000001,0.654846685000003,95975
2011-02-16,-70.7372982640549,22.1332239106744,0.572487914067429,0.52851918,0.763425544999997,95975
2011-02-17,-70.7584036495737,22.1561497290127,0.561616051976134,0.59637691,0.520361724999994,95975
2011-02-18,-70.8187269032081,22.2496536302251,0.598161979195174,0.556146994999999,0.571849380000003,95975
2011-02-19,-70.8450992691305,22.3225061412264,0.622770604365254,0.609813015,0.379913855000005,95975
2011-02-20,-70.8462713993861,22.4158480065998,0.606620513648226,0.659592119999999,0.481798894999997,95975
2011-02-21,-70.8827383025458,22.4629845525174,0.623508106745559,0.751584644999999,0.572117405,95975
2011-02-22,-70.9055727138755,22.4723717583538,0.674238224703316,0.454449745,0.470561164999999,95975
2011-02-23,-70.9455011339217,22.5508582091469,0.680031555382301,0.396671715,0.413933680000007,95975
2011-02-24,-71.0590564513111,22.6841391418423,0.687044339880614,0.394364900000001,0.346244935000001,95975
2011-02-25,-71.1738164163703,22.7142319439587,0.703521375150508,0.349616565,0.403323925000002,95975
2011-02-26,-71.2786126129054,22.6407302872504,0.751030981940049,0.4580921,0.353964240000003,95975
2011-02-27,-71.4102817429429,22.5699869441589,0.747291413165695,0.489530074999999,0.453459565000003,95975
2011-02-28,-71.3911003301806,22.8926586819488,0.569581445449775,0.64376425,0.518440884999997,95975
2011-03-01,-71.4577487689558,22.9363636497368,0.568030706050601,0.804368795,0.672590505000002,95975
2011-03-02,-71.4497297115844,22.9134789325859,0.484610915526039,0.84592814,0.520219695000002,95975
2011-03-03,-71.1738937004678,23.2603920259859,0.396383232108775,0.811947495,0.497337805000001,95975
2011-03-04,-71.227223564713,23.448050070666,0.55297374576304,0.667107464999999,0.318344009999997,95975
2011-03-05,-71.2651287731255,23.5465051605506,0.753625331868674,0.318482565,0.295052104999996,95975
2011-03-06,-71.4025015558049,23.5563210870151,0.813484696266334,0.23967833,0.406412530000004,95975
2011-03-07,-71.4673264593109,23.6077870306953,0.812153677649635,0.243456255,0.520335035000002,95975
2011-03-08,-71.49655609852,23.6071812543314,0.783021281241404,0.265314269999999,0.477551090000006,95975
2011-03-09,-71.508171837153,23.5354850054552,0.687703973827047,0.348416635,0.398560215000003,95975
2011-03-10,-71.6548003042041,23.3379352827988,0.647385087183826,0.55102645,0.589535945000002,95975
2011-03-11,-71.7208641848166,23.2034165728896,0.621412536345894,0.668603274999999,0.666455115000005,95975
2011-03-12,-71.6801960710991,23.1262949952032,0.519721794800523,0.6703701,0.674641819999998,95975
2011-03-13,-71.4646768082693,23.1316771324288,0.294796231074057,0.403371671107383,0.447574407684564,95975
2011-03-14,-71.6605526854053,23.6605378101529,0.116614772249852,0.221574070000001,0.325897670000003,95975
2011-03-15,-72.0714256330204,24.2472789077538,0.134237361680055,0.311404375,0.275151829999999,95975
2011-03-16,-71.9623012830861,24.6328201376992,0.111176506961746,0.305399435,0.456165155000001,95975
